,name,salary_from,salary_to,salary_currency,area_name,published_at
1787,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
1788,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
1789,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
1790,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
1791,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
1792,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
1793,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
1794,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
1795,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
1796,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
1797,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
1798,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
1799,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
1800,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
1801,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
1802,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
1803,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
1804,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
1805,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
1806,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
1807,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
1808,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
1809,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
1810,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
1811,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
1812,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
1813,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
1814,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
1815,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
1816,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
1817,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
1818,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
1819,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
1820,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
1821,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
1822,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
1823,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
1824,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
1825,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
1826,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
1827,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
1828,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
1829,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
1830,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
1831,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
1832,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
1833,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
1834,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
1835,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
1836,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
1837,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
1838,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
1839,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
1840,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
1841,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
1842,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
1843,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
1844,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
1845,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
1846,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
1847,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
1848,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
1849,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
1850,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
1851,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
1852,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
1853,Токарь,2000,3000,BYR,Минск,2022-12-01T15:55:13+0300
1854,Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
1855,Младший разработчик,None,None,,Москва,2022-12-01T13:12:24+0300
1856,QA Lead команды ручного тестирования,None,None,,Санкт-Петербург,2022-12-01T16:18:14+0300
1857,Токарь-полуавтоматчик,35000,50000,RUR,Самара,2022-12-01T15:53:20+0300
1858,Тестировщик web-приложений,None,None,,Екатеринбург,2022-12-01T12:14:32+0300
1859,Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
1860,"QA Automation Engineer Junior (Java/ Selenium), Remote work",None,None,,Батуми,2022-12-01T17:16:24+0300
1861,Младший инженер по тестированию,50000,None,RUR,Москва,2022-12-01T17:14:37+0300
1862,Junior IOS разработчик,None,None,,Москва,2022-12-01T16:29:47+0300
1863,Младший аналитик,None,None,,Москва,2022-12-01T13:12:25+0300
1864,Ночной удаленный ассистент,50000,None,RUR,Москва,2022-12-01T13:07:49+0300
1865,Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
1866,IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
1867,Графический дизайнер (Стажёр),None,9800,RUR,Санкт-Петербург,2022-12-01T15:22:18+0300
1868,Front-end разработчик,35000,None,RUR,Киров (Кировская область),2022-12-01T16:24:30+0300
1869,Менеджер проектов (дочерняя компания),None,None,,Москва,2022-12-01T15:27:26+0300
1870,Тестировщик ПО / QA Engineer,50000,None,RUR,Москва,2022-12-01T16:17:14+0300
1871,Шлифовщик,None,75000,RUR,Самара,2022-12-01T15:53:36+0300
1872,Начальник транспортного отдела,100000,250000,RUR,Москва,2022-12-01T15:21:38+0300
